Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+3.8699999e-01  	+7.1627413e-12  	+4.9336208e-12  	+8.2020085e-12  	+7.4991627e-12  	+1.3491074e-11  	+2.5858311e-12  
	+3.8599998e-01  	+6.8841083e-12  	+4.6606360e-12  	+1.0125306e-11  	+5.2111687e-12  	+1.5402348e-11  	+2.3175125e-12  
	+3.8499999e-01  	+6.9231123e-12  	+4.7826253e-12  	+8.9593185e-12  	+6.4014874e-12  	+1.7244373e-11  	+2.3297826e-12  
	+3.8400000e-01  	+6.9341854e-12  	+4.8564932e-12  	+8.6836753e-12  	+6.5179541e-12  	+1.6942978e-11  	+2.4340488e-12  
	+3.8299999e-01  	+6.5566086e-12  	+4.5535385e-12  	+1.0730946e-11  	+7.3239435e-12  	+1.5164571e-11  	+2.0363043e-12  
	+3.8200000e-01  	+6.5863456e-12  	+4.4083734e-12  	+9.9660644e-12  	+6.4166823e-12  	+1.3047796e-11  	+2.4162699e-12  
	+3.8099998e-01  	+6.3900465e-12  	+4.4542412e-12  	+1.0312479e-11  	+6.2067526e-12  	+1.4365334e-11  	+1.7768843e-12  
	+3.8000000e-01  	+6.8873258e-12  	+4.0428529e-12  	+1.0138754e-11  	+5.6972213e-12  	+1.1541056e-11  	+2.0821951e-12  
	+3.7900001e-01  	+6.5026292e-12  	+4.5200484e-12  	+9.6058656e-12  	+5.7758624e-12  	+1.2721219e-11  	+2.1190196e-12  
	+3.7799999e-01  	+6.5303548e-12  	+4.0744803e-12  	+1.0015709e-11  	+4.4728210e-12  	+1.1382242e-11  	+2.2635097e-12  
	+3.7700000e-01  	+6.4506755e-12  	+4.5603326e-12  	+1.0304083e-11  	+5.2040815e-12  	+1.1435924e-11  	+2.1218461e-12  
	+3.7599999e-01  	+6.1013035e-12  	+4.1244551e-12  	+9.7425141e-12  	+4.7756313e-12  	+1.3768850e-11  	+2.4822494e-12  
	+3.7500000e-01  	+6.2782969e-12  	+4.1482642e-12  	+9.5024891e-12  	+4.7938385e-12  	+1.2274869e-11  	+1.8351991e-12  
	+3.7400001e-01  	+6.0790453e-12  	+4.8635341e-12  	+9.1935504e-12  	+4.0194857e-12  	+1.0993820e-11  	+2.1293154e-12  
	+3.7300000e-01  	+5.9697542e-12  	+4.8300205e-12  	+1.0793475e-11  	+3.8850121e-12  	+1.1587581e-11  	+1.8459698e-12  
	+3.7199998e-01  	+6.3422926e-12  	+4.2839486e-12  	+1.1144201e-11  	+4.5423396e-12  	+1.1030035e-11  	+1.8430548e-12  
	+3.7099999e-01  	+6.3042340e-12  	+4.2168378e-12  	+1.0283827e-11  	+4.1793847e-12  	+9.3024781e-12  	+1.5908805e-12  
	+3.7000000e-01  	+6.1244469e-12  	+4.2649729e-12  	+9.6146433e-12  	+3.7457142e-12  	+1.2265276e-11  	+1.9211462e-12  
	+3.6899999e-01  	+6.2377842e-12  	+4.1534892e-12  	+8.4418895e-12  	+4.9203636e-12  	+1.2799040e-11  	+2.0412914e-12  
	+3.6800000e-01  	+5.7879088e-12  	+4.1898013e-12  	+8.7774545e-12  	+4.5976088e-12  	+1.1190814e-11  	+1.9880896e-12  
